title;artist;year;views;url;lyric
The Plan;G-Eazy;2017;;https://genius.com/GEazy-The-Plan-lyrics;
Someone You Loved;Lewis Capaldi;2018;3766346.0;https://genius.com/Lewis-Capaldi-Someone-You-Loved-lyrics;Now, the day bleeds into nightfall
Villuminati;J. Cole;2013;1103887.0;https://genius.com/J-Cole-Villuminati-lyrics;"I'm a born sinner
But I die better than that, I swear
It's way darker this time
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
now I'm in the limelight 'cause I rhyme tight
time to get paid, blow up like the World Trade
Sometimes I brag like Hov, sometimes I'm real like Pac
Sometimes I focus on the flow to show the skills I got
Sometimes I focus on the dough, look at these bills I got
This is a message for some rappers tryna steal my spot
You niggas famous on the internet, I'm real life hot, homie
Get your weight up
fake niggas get sprayed up
My verbal AK slay faggots
And I don't mean no disrespect whenever I say faggot
Okay, faggot? Uh
Don't be so sensitive
If you want to get fucked in the ass, that's between you and whoever else's dick it is
Pause, maybe that line was too far
Just a little joke to show how homophobic you are
And who can blame ya?
Boy Meets World, I'm tryna find a new Topanga
And bang her out, no hanging out
My pops was club hopping back when Rick James was out
And all I get is Trinidad James, wait a minute, that's strange
Sip a bit of champagne, say fuck it
If the hoes like it I love it, nigga, nigga, nigga
Used to watch 
Rap City
, Big Tigga, Tigga
Rap nerd, even copped Rah Diggah, Diggah
Pac had a nigga saying fuck Jigga, fuck Biggie
I was only like 11 so forgive me
A decade later I'd be all up in the city
Tryna get Hov to fuck with me
With a burned CD full of jams that was up in my hand
When he said he didn't want it it was fuck him again
One day, he gon' regret playing me
Little did I know in a year he'd be fucking paying me
what could you say to me? I
Beat the odds like Vegas, I used to rap about haters
Before niggas was hating me
now they hate to see
A young black man with a college degree
Fucking all these little models for free, pardon me
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
Born sinner, the opposite of a winner
Sometimes I brag like Hov
I'm the prince of the city, I studied Machiavelli
You niggas couldn't blow with C4 strapped to your belly
I snuck up out the parts where niggas be living heartless
And cannot tell the difference between Iraqi, Israeli
And so I'm wondering really what could you actually tell me
I'm tryna keep my homie from throwing crack in the skully
So, back with this pen to give back for my sins
Took a black president to tell the Japanese sorry
But who the fuck gon' tell my niggas sorry
Never seen his pops 'cause he's sorry
Fucked up education, would ask for reparations
But I’m probably just gon' go and buy Ferraris, vroom
Please forgive him
According to the preacher man he needs Jesus in him
But the Devil run the TV so the demons in 'em
I'm in trouble
Did a deal with the Devil, now I'm pleading with him
Like give me my soul
My nigga, I ain't ever letting you go again
I ain't ever letting go
I ain't ever letting you go again
Please give me my soul
I ain't ever letting go
I ain't ever letting you go again
Please give me my soul
I ain't ever letting go
But the Devil don't play fair
I'm 'bout to go and join the Illuminati
Fuck everybody
I'm 'bout to go and join the Illuminati
Fuck everybody
I'm 'bout to go and join the Illuminati
Fuck everybody
I'm 'bout to go and join the Illuminati
These next three bars is dedicated to the retards
Keep on asking me about the Illuminati
Is you stupid, nigga? Young black millionaire
Old white billionaires, I'm sure that they can do without me
And I ain't really into sacrificing human bodies
Couple more A's I would've been a summa cuma laude
Beyoncé told me that she want to cop the blue Bugatti
That shit is more than what I'm worth, I think she knew it probably
Well this is awkward, awkward
Want to know what else is really awkward, awkward
When niggas buy rings for bitches I had flings with
I'm praying I don't see 'em at the Oscars, Oscars
Hey J. Cole, this way, hey
Oh, hey, what's up? What's goin' on with you? Okay
Big smile, man, big smile, let me see that crooked smile
J. Cole, J. Cole, this way, look this way
Oh friend hug, friend hug, just keep it friendly
We friends, friends
Re-adjustin' my target audience, 'cause it's obvious
I've gone astray, losing my way like Timberlake
Produced by Timbaland on that goddamn FutureSex/LoveSounds
What's playing in my mind, just the sound of my whole career
Crash and burning, the thing that I mostly fear
Was on track for the first two years until I let the Devil steer
Now what have we here? Mask my tears, but I
I ain't ever letting go
I ain't ever letting you go again
I ain't ever letting go
I ain't ever letting you go again
I ain't ever letting go
I ain't ever letting you go again
I ain't ever letting go
I ain't ever letting you go again
Allow me to re-introduce myself, my name is Cole
My nigga
Born sinner, the opposite of a winner
Sometimes I brag like Hov
Allow me to re-introduce myself, my name is Cole
My nigga
Born sinner, the opposite of a winner
Sometimes I brag like Hov"
Supermarket Flowers;Ed Sheeran;2017;2242786.0;https://genius.com/Ed-Sheeran-Supermarket-Flowers-lyrics;"I took the supermarket flowers from the windowsill
I threw the day-old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get-well-soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But, Mum, there's a tear every time that I blink
A heart that's broke is a heart that's been loved
So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""
I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John says he'd drive then put his hand on my cheek
And wiped a tear from the side of my face
A life with love is a life that's been lived
So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down, you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""
Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back
He said, ""Hallelujah, you're home"""
Oblivion;Grimes;2012;515761.0;https://genius.com/Grimes-Oblivion-lyrics;"I never walk about after dark
It's my point of view
'Cause someone could break your neck
Coming up behind you
Always coming and you'd never have a clue
I never look behind all the time
I will wait forever
Always looking straight
Thinking, counting all the hours you wait
See you on a dark night (La-la-la-la-la)
See you on a dark night
See you on a dark night (La-la-la-la-la)
See you on a dark night
And no, I'm not a jerk
I would ask if you could help me out
It's hard to understand
'Cause when you're running by yourself
It's hard to find someone to hold your hand
You know it's good to be tough like me
But I would wait forever
I need someone else
To look into my eyes and tell me
""Girl, you know you've got to watch your health""
To look into my eyes and tell me
La-la-la-la-la
To look into my eyes and tell me
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night
See you on a dark night (La-la-la-la-la)"
Impossible;Impossible Lyrics - Travis Scott;2015;;https://genius.com/Impossible-Lyrics-Travis-Scott-Impossible-lyrics;
Roman Holiday;Halsey;2015;271599.0;https://genius.com/Halsey-Roman-Holiday-lyrics;"Do you remember the taste of my lips that night
I stole a bit of my mother's perfume?
'Cause I remember when my father put his fist through the wall
That separated the dining room
And I remember the fear in your eyes
The very first time we snuck into the city pool
Late December, with my heart in my chest
And the clouds of my breath
Didn't know where we were running to
But don't look back
On a Roman holiday
'Cause I imagine the weight of your ribs if you lied between my hips in the backseat
I imagine the tears in your eyes
The very first night I'll sleep without you
And when it happens I'll be miles away
And a few months late
Didn't know where I was running to
But I won't look back
On a Roman holiday
Feet first, don't fall
Or we'll be running again
Keep close, stand tall
On a Roman holiday"
Highlights;Kanye West;2016;1282810.0;https://genius.com/Kanye-West-Highlights-lyrics;"Young Thug
High as light
Tell my baby I'm back in town
High, high, my light
Tell everybody I'm back in town
High, highlight
Tell my baby I'm back in town, town
Highlight
[Chorus: Kanye West & 
Young Thug
]
We only makin' the highlights
Tell lil' mama, tell lil' mama
That I only want my whole life to only be highlights
We only makin' the highlights
Tell lil' mama, tell lil' mama
That I only want my whole life to only be highlights
[Verse 1: Kanye West & 
Young Thug
]
Can we play that back one time? (
Highlight
)
And after that night, I'm gon' wanna play this shit back, oh no (
Highlight
)
Sometimes, I'm wishin' that my dick had GoPro (
Highlight, highlight
)
So I could play that shit back in slow mo (
Slow motion
)
I just shot an amateur video; I think I should go pro, go
[Chorus: Kanye West, 
Young Thug
 & 
El Debarge
]
We only makin' the highlights (
Slow motion, slow motion, slow motion
)
Dying in the sunlight
We only makin' the highlights
Tell lil' mama, tell lil' mama
That I only want my whole life to only be highlights
Yeah, just in
[Bridge: El Debarge & 
Kanye West
]
One life, one night
Uh
Highlights
Sound like me
Livin' the life 'til I die
I bet me and Ray J would be friends
If we ain't love the same bitch
Yeah, he might have hit it first
Only problem is I'm rich (I'm rich, I'm rich, I'm rich)
21 Grammys, superstar family
We the new Jacksons, I'm all about that action
I'm about that Farrakhan, life is a marathon
I'ma shift the paradigm, I'ma turn up every time
I'ma bust a coach's head open on some Diddy shit
If he ever talk to my son like an idiot
One time for a nigga really gettin' it
Two times 'cause we got the whole city lit
Advice to all my niggas: impregnate Bridget (Oh, no, gotta play that shit back!)
So if she have a baby, she gon' make another nigga
Got the Fruit of Islam in the trenches, hah?
Even though they know Yeezus is a Christian, hah?
She spent her whole check on some Christians
And that girl ain't even religious
Walkin', livin', breathin' god, you know my past well
Hard to believe in God, your nigga got killed
Blac Chyna fuckin' Rob helped him with the weight
I wish my trainer would, tell me what I overate
So when I'm on vacay, I need to kick back, heh?
What you want? You want a boss or an R&B nigga with a six pack, heh, huh?
Uh, I need every bad bitch up in Equinox
I need to know right now if you a freak or not
I need every bad bitch up in Equinox
I need to know right now if you a freak or not
I need every bad bitch up in Equinox
I wanna know right now if you a freak or not
I need every bad bitch up in Equinox
I wanna know right now if you a freak or not
Oh, Lord (Ohh, nah-nah-nah-nah)
Oh, Lord (Ohh, nah-nah-nah-nah, nah)
I need every bad bitch up in Equinox
I wanna know if you a freak or not
Bad bitch up in Equinox
I wanna know if you a freak or not
Oh, Lord, oh, my Lord (Oh-nah-nah-nah-nah)"
Wish You Were Here;Pink Floyd;1975;2836076.0;https://genius.com/Pink-Floyd-Wish-You-Were-Here-lyrics;"""
And disciplinary remains mercifully
""
""
Yes and um, I’m with you, Derek, this star nonsense
""
""
Yes, yes
""
""
Now which is it?
""
""
I am sure of it
""
So, so you think you can tell
Heaven from Hell?
Blue skies from pain?
Can you tell a green field from a cold steel rail?
A smile from a veil?
Do you think you can tell?
Did they get you to trade your heroes for ghosts?
Hot ashes for trees? Hot air for a cool breeze?
Cold comfort for change?
Did you exchange
A walk-on part in the war for a lead role in a cage?
How I wish, how I wish you were here
We're just two lost souls swimming in a fishbowl, year after year
Running over the same old ground, what have we found?
The same old fears, wish you were here"
RAP DEVIL;Machine Gun Kelly;2018;3451495.0;https://genius.com/Machine-Gun-Kelly-RAP-DEVIL-lyrics;"(
Oh my God, RONNY
)
Somebody grab him some clippers (Zzt), his fuckin' beard is weird
Tough talk from a rapper payin' millions for security a year
""I think my dad's gone—"" (
Ah
), yeah, Hailie, you right
Dad's always mad cooped up in the studio, yellin' at the mic
You sober and bored, huh? (I know)
'Bout to be forty-six years old, dog
Talkin' 'bout ""I'ma call up Trick Trick,"" man, you sound like a bitch, bitch
Man up and handle your shit (Ugh)
Mad about somethin' I said in 2012, took you six years and a surprise album just to come with a diss? (Huh)
Homie, we get it, we know that you're the greatest rapper alive
Fuckin' dweeb, all you do is read the dictionary and stay inside
Fuck ""Rap God"", I'm the Rap Devil
Comin' bare-faced with a black shovel
Like the Armageddon when the smoke settle
His body next to this instrumental, I'm sayin'
I'm sick of them sweatsuits, and them corny hats, let's talk about it
I'm sick of you bein' rich, and you still mad, let's talk about it
Both of us single dads from the Midwest, we can talk about it
Or we could get gully, I'll size up your body and put some white chalk around it (Ayy)
Let's talk about the fact you actually blackballed a rapper that's twice as young as you (Let's talk about it)
Let's call Sway, ask why I can't go up to Shade 45 because of you (Brrt)
Let's ask Interscope how you had Paul Rosenberg tryin' to shelf me (Huh?)
Still can't cover up the fact your last four albums is bad as your selfie
Now tell me, what do you stand for? (What?)
I know you can't stand yourself (True)
Tryna be the old you so bad, you stan yourself (Ha)
Let's leave all the beefin' to 50 (Please), Em, you're pushin' fifty
Why you claimin' that I'ma call Puff when you the one that called Diddy? (Facts)
Then you went and called Jimmy (Facts), they conference-called me in the mornin' (What?)
They told me you mad about a tweet, you wanted me to say sorry (What?)
I swear to God, I ain't believe him (Nah), please say it ain't so (No)
The big bad bully of the rap game can't take a fuckin' joke
Oh, you want some fuckin' smoke (What?)
But not literally, you'll choke
Yeah, I'll acknowledge you're the GOAT
But I'm The Gunner, bitch, I got you in the scope (Brrah)
Don't have a heart attack now (Uh),
somebody help your mans up (Help)
Knees weak of old age, the real Slim Shady can't stand up
I'm sick of them sweatsuits, and them corny hats, let's talk about it (Let's talk)
I'm sick of you bein' rich, and you still mad, let's talk about it (Let's talk)
Both of us single dads from the Midwest, we can talk about it (Uh-huh)
Or we could get gully, I'll size up your body and put some white chalk around it
Hello, Marshall, my name's Colson, you should go back to Recovery (Phew)
I know your ego is hurtin', just knowin' that all of your fans discovered me (Hi)
He like, ""Damn, he a younger me, 'cept he dresses better and I'm ugly, always makin' fun of me""
Stop all the thuggery, Marshall, you livin' in luxury (Ayy)
Look what you done to me, dropped an album just because of me, damn, you in love with me
Shout-out to every rapper that's up under me, know that I'll never do you like this fuckery
pull that wedgie out your dungarees (Ayy)
I gotta respect the OGs, and I know most of 'em personally (Ayy)
But you're just a bully actin' like a baby, so I gotta read you a nursery (Pussy)
I'm the ghost of the future, and you're just Ebenezer Scrooge (Eh)
I said on Flex, ""Anyone could get it"", I ain't know it would be you
I'm sick of them sweatsuits, and them corny hats, let's talk about it (Let's talk)
I'm sick of you bein' rich, and you still mad, let's talk about it (Let's talk)
Both of us single dads from the Midwest, we can talk about it (Uh-huh)
Or we could get gully, I'll size up your body and put some white chalk around it
[Bridge: Machine Gun Kelly & 
Sammi Giancola
]
Ayy, ridin' shotty 'cause I gotta roll this dope
It's a fast road (When your idols become your rivals), yeah
(
Oh my God, RONNY
)
We know you get nervous, Rabbit, I see Mama's spaghetti all over your sweater
I wish you would lose yourself on the records that you made a decade ago, they were better
Accordin' to them, you're a national treasure, to me, you're as soft as a feather
The type to be scared to ask Rihanna for her number, just hold her umbrella-ella-ella
""I'm not afr—,"" okay, Oscar the Grouch, chill on the couch (Fuck)
You got a Oscar, damn, can anyone else get some food in their mouth? (For real)
They made a movie about you, you're in everybody's top ten
You're not getting better with time, it's fine, Eminem, put down the pen
Or write an apology over the simple fact you had to diss to acknowledge me
I am the prodigy,
how could I even look up to you? You ain't as tall as me
5'8"" and I'm 6'4"", seven punches, hold your head still
Last time you saw 8 Mile was at home on a treadmill
You were named after a candy, I was named after a gangster (Brr)
And don't be a sucker and take my verse off of Yelawolf's album, thank you (Thank you)
I just wanna feed my daughter, you tryna stop the money to support her
You the one always talkin' 'bout the action, text me the addy, I'm pullin' up scrappin'
And I'm by my fuckin' self, what's happenin'?
EST Captain, salute me or shoot me
Yeah, there's a difference between us, I got all of my shit without Dre producin' me (Ayy)
everybody quiet this evenin', I'm readin' the eulogy (Shh)
You dropped an album called Kamikaze, so that means he killed him
I already fucked one rapper's girl this week, don't make me call Kim
I'm sick of them sweatsuits, and them corny hats, let's talk about it (Let's talk)
I'm sick of you bein' rich, and you still mad, let's talk about it (Let's talk)
Both of us single dads from the Midwest, we can talk about it (Uh-huh)
Or we could get gully, I'll size up your body and put some white chalk around it"
95 Til Infinity;Joey Bada$$;2013;416085.0;https://genius.com/Joey-Bada-95-Til-Infinity-lyrics;"Preaching spoken words that just might poke your nerves
Hope you ain't scared, my jeep go ""Scrrrr""
If I give you a piece of mind, you've been disorderly disturbed
That's my word,
flip similes and verbs,
Retreating for seconds and thirds,
Don't worry what we ate, you don't want that plate
I combine yours with mine quake, and make the earth shake
Supernatural disaster on you half-ass rappers
Pass the herb to an actual pastor, word to the black lip bastard
I drop knowledge like a Five Percenter
Every time I drop a line, it touch like five placentas
Schooling your offspring,
drop heat all spring
And stay hot for five Novembers,
95 'til infinity time
We in disguise behind enemy lines
they can't get my lines
I used to give a fuck you could find
Instead of lead slugs, I spreads the love
Like a bed bugaboo does,
I'm in the walls while you bugging her up
'99, 'til infinity beyond
Hold my peace full of energy 'til enemies be gone
95 'til infinity time
We in disguise behind enemy lines
they can't get my lines
I used to give a fuck you could find
Cause they will never stop for a young black male
Blackmailed in braille that means what he felt
And the very reveal could appeal
Put you on the Alcatraz trail or railroad to hell
Uh, roots of all evil
The highest stars; Evel Knievel
the world may never know
How my third pupil show,
Incognito and cold needles flow
And I don't throw subs, I throw torpedoes
The Don, not Cheadle,
this don got a Cornelius fro
Afro punk festivities
like Nefertiti
Waking up to pyramids and big kitties
Gold soul theory,
but what is life really
95 'til infinity time
We in disguise behind enemy lines
they can't get my lines
I used to give a fuck you could find"
Bankrupt;Cuban Doll;2017;296228.0;https://genius.com/Cuban-Doll-Bankrupt-lyrics;I hopped out my feelings and I hopped in my bag
Self Control;Frank Ocean;2016;3251490.0;https://genius.com/Frank-Ocean-Self-Control-lyrics;"Poolside convo about your summer last night (Ooh, yeah)
About your summer last night
Ain't give you no play, mm
Could I make you shive last night?
Could I make you shy on the last night? (Last night)
Could we make it in? Do we have time?
I'll be the boyfriend in your wet dreams tonight
Noses on a rail, little virgin wears the white
You cut your hair, but you used to live a blonded life
Wish I was there, wish we'd grown up on the same advice
And our time was right
Keep a place for me, for me
I'll sleep between y'all, it's nothing
It's nothing, it's nothing
Keep a place for me, for me
Now and then, you miss it, sounds make you cry
Some nights, you dance with tears in your eyes
I came to visit, 'cause you see me like a UFO
That's like never, 'cause I made you use your self-control
And you made me lose my self-control, my self-control
[Chorus: Austin Feinstein & Frank Ocean, 
Austin Feinstein
]
Keep a place for me, for me
I'll sleep between y'all, it's nothing
Keep a place for me
It's nothing, it's nothing
It's nothing, it's nothing
Sometimes, you'll miss it
And the sound will make you cry
And some nights, you're dancing
With tears in your eyes
I, I, I know you gotta leave, leave, leave
Take down some summertime
Give up, just tonight, 'night, 'night
I, I, I know you got someone comin'
You're spittin' game, know you got it
I, I, I know you gotta leave, leave, leave
Take down some summertime
Give up, just tonight, 'night, 'night
I, I, I know you got someone comin'
You're spittin' game, know you got it (Yeah)
I, I, I know you gotta leave, leave, leave
Take down some summertime
Give up, just tonight, 'night, 'night
I, I, I know you got someone comin'
You're spittin' game, know you got it"
Do You...;Miguel;2012;285990.0;https://genius.com/Miguel-Do-You-lyrics;"But do you like drugs, do you like drugs
Yeah, well me too, me too, me too, babe
Me too, me too
Do you like love, do you like love?
Yeah, well me too (me too, babe), me too
It’s what we're gonna do"
Bambi;Jidenna;2017;471242.0;https://genius.com/Jidenna-Bambi-lyrics;"Bambi Bambi (Ahh Bam-Bambi)
My dear, my dear, my dear (Ahh Bam Bambi)
My dear I want you here (Ahh Bam-Bambi)
But don't get too near for there’s lions beware (Ahh Bam-Bambi)
Oh Bambi I won't lie
If I weren't in this spider web of mine
If grandfather never had seven wives
To run the jungle I must be a lion
Or be a cheetah but neither is fine
Don't wanna hurt my dear love of my life
Bambi Bambi (Ahh Bam-Bambi)
My dear, my dear, my dear (Ahh Bam-Bambi)
My dear I want you here (Ahh Bam-Bambi)
But don't get too near for there’s lions beware (Ahh Bam-Bambi)
Sometimes I hide
When you FaceTime I text you back a lie
‘Cause I'm afraid to look back in your eyes
I'm terrified you were love of my life
‘Cause now they know you are love of my life
Bambi Bambi (Ahh Bam-Bambi)
My dear, my dear, my dear (Ahh Bam-Bambi)
My dear I want you here (Ahh Bam-Bambi)
But don't get too near for there’s lions beware (Ahh Bam-Bambi)
I got the wedding invitation Bambi
I'm happy that he wants to make a family
But I cannot promise I won’t run up in the church there screamin’ your name Bambi
Bambi Bambi (Ahh Bam-Bambi)
My dear, my dear, my dear (Ahh Bam-Bambi)
My dear I want you here (Ahh Bam-Bambi)
But don't get too near for there’s lions beware (Ahh Bam-Bambi)
I just wanna see my baby, that's my Bambi, that's my dear
I just wanna see my baby, that's my Bambi, that's my dear
I just wanna see my baby, that's my Bambi, that's my dear
I just wanna see my baby, that's my Bambi, that's my dear"
Burning;Sam Smith;2017;352813.0;https://genius.com/Sam-Smith-Burning-lyrics;"I've been smokin', oh, more than twenty a day
Blame it on rebellion, don't blame it on me
Wish I was younger back to the nineteenth of May
I had an open mind, swore to never change
No friends to turn to, yeah, I messed up that
Wish we could smoke again just for a day, oh"
